worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
49,pathfinder,137,3,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site137_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site137_bit3.err
50,pathfinder,137,17,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site137_bit17.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site137_bit17.err
51,pathfinder,116,3,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site116_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site116_bit3.err
52,pathfinder,116,17,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site116_bit17.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site116_bit17.err
53,pathfinder,9,3,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site9_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site9_bit3.err
54,pathfinder,9,31,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site9_bit31.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site9_bit31.err
55,pathfinder,64,3,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site64_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site64_bit3.err
56,pathfinder,64,17,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site64_bit17.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site64_bit17.err
57,pathfinder,53,3,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site53_bit3.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site53_bit3.err
58,pathfinder,53,17,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site53_bit17.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site53_bit17.err
59,pathfinder,56,62,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site56_bit62.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site56_bit62.err
60,pathfinder,56,63,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,,PASS,MASKED,0,false,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site56_bit63.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/pathfinder/site56_bit63.err
61,dense-embedding,114,9,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit9.err
62,dense-embedding,114,16,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit16.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site114_bit16.err
63,dense-embedding,126,9,nvidia_vs_amd,SDC,126,390,,SDC,DUE,,pairwise_normalized_metadata,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit9.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/dense-embedding/site126_bit9.err
