site_id,opcode,site_class,type_kind,bitwidth,operand_index
725,call,int,int,32,-1
726,call,operand,int,32,0
727,call,pointer,pointer,64,1
728,call,int,int,32,-1
729,call,operand,int,32,0
730,call,pointer,pointer,64,1
731,zext,int,int,64,-1
732,zext,operand,int,32,0
733,shl,int,int,64,-1
734,shl,operand,int,64,0
735,shl,operand,int,64,1
736,zext,int,int,64,-1
737,zext,operand,int,32,0
738,or,int,int,64,-1
739,or,operand,int,64,0
740,or,operand,int,64,1
741,load,pointer,pointer,64,-1
742,load,pointer,pointer,64,0
743,getelementptr,pointer,pointer,64,-1
744,getelementptr,pointer,pointer,64,0
745,getelementptr,operand,int,64,1
746,load,int,int,64,-1
747,load,pointer,pointer,64,0
748,and,int,int,64,-1
749,and,operand,int,64,0
750,and,operand,int,64,1
751,getelementptr,pointer,pointer,64,-1
752,getelementptr,pointer,pointer,64,0
753,getelementptr,operand,int,64,1
754,getelementptr,pointer,pointer,64,-1
755,getelementptr,pointer,pointer,64,0
756,getelementptr,operand,int,64,1
757,load,pointer,pointer,64,-1
758,load,pointer,pointer,64,0
759,getelementptr,pointer,pointer,64,-1
760,getelementptr,pointer,pointer,64,0
761,getelementptr,operand,int,64,1
762,call,int,int,64,-1
763,call,operand,int,1,0
764,call,pointer,pointer,64,1
765,br,operand,int,1,0
766,getelementptr,pointer,pointer,64,-1
767,getelementptr,pointer,pointer,64,0
768,getelementptr,operand,int,64,1
769,getelementptr,pointer,pointer,64,-1
770,getelementptr,pointer,pointer,64,0
771,getelementptr,operand,int,64,1
772,getelementptr,pointer,pointer,64,-1
773,getelementptr,pointer,pointer,64,0
774,getelementptr,operand,int,64,1
775,store,operand,int,32,0
776,store,pointer,pointer,64,1
777,store,operand,int,64,0
778,store,pointer,pointer,64,1
779,store,operand,int,32,0
780,store,pointer,pointer,64,1
781,zext,int,int,64,-1
782,zext,operand,int,32,0
783,getelementptr,pointer,pointer,64,-1
784,getelementptr,pointer,pointer,64,0
785,getelementptr,operand,int,64,1
786,getelementptr,operand,int,64,2
787,store,operand,int,64,0
788,store,pointer,pointer,64,1
789,getelementptr,pointer,pointer,64,-1
790,getelementptr,pointer,pointer,64,0
791,getelementptr,operand,int,64,1
792,store,operand,int,64,0
793,store,pointer,pointer,64,1
794,getelementptr,pointer,pointer,64,-1
795,getelementptr,pointer,pointer,64,0
796,getelementptr,operand,int,64,1
797,store,operand,int,64,0
798,store,pointer,pointer,64,1
799,getelementptr,pointer,pointer,64,-1
800,getelementptr,pointer,pointer,64,0
801,getelementptr,operand,int,64,1
802,store,operand,int,64,0
803,store,pointer,pointer,64,1
804,getelementptr,pointer,pointer,64,-1
805,getelementptr,pointer,pointer,64,0
806,getelementptr,operand,int,64,1
807,store,operand,int,64,0
808,store,pointer,pointer,64,1
809,getelementptr,pointer,pointer,64,-1
810,getelementptr,pointer,pointer,64,0
811,getelementptr,operand,int,64,1
812,store,operand,int,64,0
813,store,pointer,pointer,64,1
814,getelementptr,pointer,pointer,64,-1
815,getelementptr,pointer,pointer,64,0
816,getelementptr,operand,int,64,1
817,store,operand,int,64,0
818,store,pointer,pointer,64,1
819,getelementptr,pointer,pointer,64,-1
820,getelementptr,pointer,pointer,64,0
821,getelementptr,operand,int,64,1
822,store,operand,int,64,0
823,store,pointer,pointer,64,1
824,br,operand,int,1,0
825,getelementptr,pointer,pointer,64,-1
826,getelementptr,pointer,pointer,64,0
827,getelementptr,operand,int,64,1
828,load,int,int,64,-1
829,load,pointer,pointer,64,0
830,load,int,int,64,-1
831,load,pointer,pointer,64,0
832,and,int,int,64,-1
833,and,operand,int,64,0
834,and,operand,int,64,1
835,getelementptr,pointer,pointer,64,-1
836,getelementptr,pointer,pointer,64,0
837,getelementptr,operand,int,64,1
838,store,operand,int,64,0
839,store,pointer,pointer,64,1
840,cmpxchg,pointer,pointer,64,0
841,cmpxchg,operand,int,64,1
842,cmpxchg,operand,int,64,2
843,extractvalue,int,int,1,-1
844,br,operand,int,1,0
845,extractvalue,int,int,64,-1
846,call,operand,int,32,0
847,call,pointer,pointer,64,1
848,store,operand,int,64,0
