site_id,opcode,site_class,type_kind,bitwidth,operand_index
2339,getelementptr,pointer,pointer,64,0
2340,getelementptr,operand,int,64,1
2341,load,int,int,8,-1
2342,load,pointer,pointer,64,0
2343,zext,int,int,64,-1
2344,zext,operand,int,8,0
2345,shl,int,int,64,-1
2346,shl,operand,int,64,0
2347,shl,operand,int,64,1
2348,or,int,int,64,-1
2349,or,operand,int,64,0
2350,or,operand,int,64,1
2351,getelementptr,pointer,pointer,64,-1
2352,getelementptr,pointer,pointer,64,0
2353,getelementptr,operand,int,64,1
2354,load,int,int,8,-1
2355,load,pointer,pointer,64,0
2356,zext,int,int,64,-1
2357,zext,operand,int,8,0
2358,shl,int,int,64,-1
2359,shl,operand,int,64,0
2360,shl,operand,int,64,1
2361,or,int,int,64,-1
2362,or,operand,int,64,0
2363,or,operand,int,64,1
2364,add,int,int,32,-1
2365,add,operand,int,32,0
2366,add,operand,int,32,1
2367,getelementptr,pointer,pointer,64,-1
2368,getelementptr,pointer,pointer,64,0
2369,getelementptr,operand,int,64,1
2370,phi,int,int,32,-1
2371,phi,operand,int,32,0
2372,phi,operand,int,32,1
2373,phi,int,int,64,-1
2374,phi,operand,int,64,0
2375,phi,operand,int,64,1
2376,zext,int,int,64,-1
2377,zext,operand,int,32,0
2378,getelementptr,pointer,pointer,64,-1
2379,getelementptr,pointer,pointer,64,0
2380,getelementptr,operand,int,64,1
2381,load,int,int,8,-1
2382,load,pointer,pointer,64,0
2383,zext,int,int,64,-1
2384,zext,operand,int,8,0
2385,shl,int,int,32,-1
2386,shl,operand,int,32,0
2387,shl,operand,int,32,1
2388,zext,int,int,64,-1
2389,zext,operand,int,32,0
2390,shl,int,int,64,-1
2391,shl,operand,int,64,0
2392,shl,operand,int,64,1
2393,or,int,int,64,-1
2394,or,operand,int,64,0
2395,or,operand,int,64,1
2396,add,int,int,32,-1
2397,add,operand,int,32,0
2398,add,operand,int,32,1
2399,icmp,int,int,1,-1
2400,icmp,operand,int,32,0
2401,icmp,operand,int,32,1
2402,br,operand,int,1,0
2403,phi,pointer,pointer,64,-1
2404,phi,pointer,pointer,64,0
2405,phi,pointer,pointer,64,1
2406,phi,pointer,pointer,64,2
2407,phi,int,int,32,-1
2408,phi,operand,int,32,0
2409,phi,operand,int,32,1
2410,phi,operand,int,32,2
2411,phi,int,int,64,-1
2412,phi,operand,int,64,0
2413,phi,operand,int,64,1
2414,phi,operand,int,64,2
2415,icmp,int,int,1,-1
2416,icmp,operand,int,32,0
2417,icmp,operand,int,32,1
2418,br,operand,int,1,0
2419,icmp,int,int,1,-1
2420,icmp,operand,int,32,0
2421,icmp,operand,int,32,1
2422,br,operand,int,1,0
2423,load,int,int,8,-1
2424,load,pointer,pointer,64,0
2425,zext,int,int,64,-1
2426,zext,operand,int,8,0
2427,getelementptr,pointer,pointer,64,-1
2428,getelementptr,pointer,pointer,64,0
2429,getelementptr,operand,int,64,1
2430,load,int,int,8,-1
2431,load,pointer,pointer,64,0
2432,zext,int,int,64,-1
2433,zext,operand,int,8,0
2434,shl,int,int,64,-1
2435,shl,operand,int,64,0
2436,shl,operand,int,64,1
2437,or,int,int,64,-1
2438,or,operand,int,64,0
2439,or,operand,int,64,1
2440,getelementptr,pointer,pointer,64,-1
2441,getelementptr,pointer,pointer,64,0
2442,getelementptr,operand,int,64,1
2443,load,int,int,8,-1
2444,load,pointer,pointer,64,0
2445,zext,int,int,64,-1
2446,zext,operand,int,8,0
2447,shl,int,int,64,-1
2448,shl,operand,int,64,0
2449,shl,operand,int,64,1
2450,or,int,int,64,-1
2451,or,operand,int,64,0
2452,or,operand,int,64,1
2453,getelementptr,pointer,pointer,64,-1
2454,getelementptr,pointer,pointer,64,0
2455,getelementptr,operand,int,64,1
2456,load,int,int,8,-1
2457,load,pointer,pointer,64,0
2458,zext,int,int,64,-1
2459,zext,operand,int,8,0
2460,shl,int,int,64,-1
2461,shl,operand,int,64,0
2462,shl,operand,int,64,1
2463,or,int,int,64,-1
2464,or,operand,int,64,0
2465,or,operand,int,64,1
2466,getelementptr,pointer,pointer,64,-1
